Current Course,Technical Skills,Programming Languages,Programming Languages Ratings,Soft Skills,Soft Skills Ratings,Projects,Career Interest,Challenges,major
b.sc data science,"cybersecurity, java",javascript,4,"leadership, time management, problem-solving",1,no,data scientist,interview anxiety,b.sc data science
m.tech ai,"blockchain, python, sql","python, c#",3,"adaptability, teamwork, leadership",4,no,cybersecurity expert,limited guidance,m.tech ai
b.tech it,"blockchain, machine learning, python","java, go",4,"teamwork, adaptability, problem-solving",3,yes,cybersecurity expert,no networking opportunities,b.tech it
b.tech it,"cybersecurity, blockchain, java","python, go, java",1,"time management, communication, leadership",4,no,cloud architect,no networking opportunities,b.tech it
b.tech it,"cloud computing, sql","python, javascript",4,"teamwork, problem-solving",5,no,software developer,lack of experience,b.tech it
b.tech cse,"machine learning, cybersecurity, java, data analysis","python, java, c#",3,"leadership, adaptability",4,no,software developer,limited guidance,b.tech cse
m.tech ai,"cybersecurity, sql",go,2,"communication, time management",4,no,data scientist,no networking opportunities,m.tech ai
b.tech it,"sql, cloud computing",r,3,"time management, teamwork",5,no,data scientist,no networking opportunities,b.tech it
m.tech ai,"java, sql, cloud computing",c++,4,"problem-solving, adaptability, time management",2,no,cloud architect,interview anxiety,m.tech ai
m.tech ai,"sql, cloud computing","java, c#",1,"problem-solving, leadership, communication",5,no,cloud architect,no networking opportunities,m.tech ai
m.tech ai,"python, machine learning","javascript, c#",3,"problem-solving, time management, teamwork",1,no,cybersecurity expert,lack of experience,m.tech ai
b.sc data science,"data analysis, cybersecurity","python, c++",4,"leadership, teamwork",2,no,software developer,lack of experience,b.sc data science
b.tech cse,"cloud computing, cybersecurity",javascript,3,"communication, adaptability, teamwork",2,no,cloud architect,difficulty in resume building,b.tech cse
b.sc data science,"machine learning, cybersecurity, python, data analysis","java, c#",3,"leadership, teamwork",4,yes,business analyst,lack of experience,b.sc data science
b.tech cse,"cybersecurity, data analysis","go, c#",2,"problem-solving, leadership",5,yes,cloud architect,no networking opportunities,b.tech cse
m.tech ai,"java, data analysis, python",java,2,"teamwork, problem-solving, time management",3,no,ai engineer,interview anxiety,m.tech ai
b.tech cse,"java, blockchain, machine learning, cybersecurity","java, c++",4,"leadership, adaptability, communication",5,no,software developer,lack of experience,b.tech cse
b.tech it,"blockchain, java, sql, python","javascript, java, c++",3,"communication, time management",1,no,cloud architect,lack of experience,b.tech it
b.tech cse,"data analysis, java, cybersecurity","c++, go",5,"adaptability, leadership, problem-solving",5,yes,data scientist,lack of experience,b.tech cse
b.sc data science,"java, cybersecurity, blockchain",c++,4,"problem-solving, leadership",4,yes,cloud architect,difficulty in resume building,b.sc data science
b.sc data science,"python, cloud computing","go, java, c++",4,"adaptability, leadership",5,yes,data scientist,no networking opportunities,b.sc data science
b.tech cse,"data analysis, python, java, cybersecurity","r, javascript",4,"teamwork, adaptability, time management",2,yes,data scientist,no networking opportunities,b.tech cse
b.tech it,"machine learning, blockchain","c#, javascript, go",3,"communication, time management, problem-solving",3,yes,software developer,no networking opportunities,b.tech it
